team_id,attack_log_rate,defense_log_rate
arsenal,0.41338535088992523,0.4918583618517743
aston-villa,0.147672637826974,0.03978302186486859
bournemouth,-0.011704984698283755,0.02784850208060539
brentford,0.10264102731809172,-0.011138305767719604
brighton-hove-albion,0.07264561965181322,0.05478180262396931
burnley,-0.2320315826404616,-0.15475623003397407
chelsea,0.24984359071650883,0.11249757492597108
crystal-palace,-0.07950332004421995,0.1262908627649928
everton,-0.3578511826750977,0.14819391336800977
fulham,0.04046075431074083,0.09328728189786914
ipswich-town,-0.2821818317062958,-0.05154119347026779
leeds-united,-0.08679411700513573,-0.22916213781458178
leicester-city,-0.08802005587018621,-0.20051245129309486
liverpool,0.4606289712989386,0.3559400052171832
luton-town,0.00030407638513943284,-0.3099812043472392
manchester-city,0.43189622632351243,0.37609462814888633
manchester-united,-0.018945119881166362,0.12369996267520482
newcastle-united,0.3022533075317675,0.1893114429408394
norwich-city,-0.22589055187470938,-0.19646087041533764
nottingham-forest,-0.07912883579156678,0.07773247663743577
sheffield-united,-0.3048356798774409,-0.4808726222215648
southampton,-0.44620747399624283,-0.195936178975887
tottenham-hotspur,0.343011133320505,0.002669916965987971
watford,-0.280862357288832,-0.15284974280453795
west-ham-united,-0.029806221928790587,-0.11452199296079184
wolverhampton-wanderers,-0.040979380295487276,-0.12225682385860132
